FECHA HECHO,DEPARTAMENTO,MUNICIPIO,CANTIDAD
2010-02-01,META,MAPIRIPAN,1
2010-02-01,CAUCA,GUAPI,1
2010-02-01,NARIÑO,SAN ANDRES DE TUMACO,1
2010-02-02,NORTE DE SANTANDER,EL TARRA,2
2010-02-02,NORTE DE SANTANDER,TEORAMA,1
2010-02-02,NARIÑO,SAMANIEGO,1
2010-02-02,VICHADA,PUERTO CARREÑO,1
2010-02-02,NARIÑO,SAN ANDRES DE TUMACO,1
2010-02-03,CAQUETÁ,SOLANO,1
2010-02-03,VAUPÉS,CARURU,1
2010-02-03,CÓRDOBA,PLANETA RICA,1
2010-02-03,NORTE DE SANTANDER,CUCUTA,1
2010-02-03,NORTE DE SANTANDER,LOS PATIOS,1
2010-02-03,PUTUMAYO,VILLAGARZON,1
2010-02-04,META,LA MACARENA,2
2010-02-04,CAUCA,TIMBIQUI,1
2010-02-04,META,MAPIRIPAN,5
2010-02-05,VICHADA,CUMARIBO,1
2010-02-05,ANTIOQUIA,SAN LUIS,1
2010-02-05,NARIÑO,EL ROSARIO,1
2010-02-05,PUTUMAYO,VILLAGARZON,1
2010-02-06,CÓRDOBA,MONTELIBANO,1
2010-02-06,VICHADA,CUMARIBO,1
2010-02-06,GUAVIARE,MIRAFLORES,4
2010-02-06,META,MAPIRIPAN,1
2010-02-06,NARIÑO,SAMANIEGO,1
2010-02-07,META,MAPIRIPAN,1
2010-02-08,ANTIOQUIA,VALDIVIA,1
2010-02-08,ANTIOQUIA,TARAZA,1
2010-02-08,NARIÑO,OLAYA HERRERA,2
2010-02-09,META,PUERTO RICO,1
2010-02-09,NORTE DE SANTANDER,TEORAMA,4
2010-02-09,PUTUMAYO,PUERTO CAICEDO,2
2010-02-09,NARIÑO,SAN ANDRES DE TUMACO,1
2010-02-09,NARIÑO,ROBERTO PAYAN,2
2010-02-10,PUTUMAYO,LEGUIZAMO,1
2010-02-10,PUTUMAYO,PUERTO ASIS,1
2010-02-10,VICHADA,CUMARIBO,2
2010-02-10,CUNDINAMARCA,PUERTO SALGAR,1
2010-02-10,NARIÑO,SAMANIEGO,1
2010-02-10,PUTUMAYO,VALLE DEL GUAMUEZ,1
2010-02-11,NORTE DE SANTANDER,CUCUTA,2
2010-02-11,NORTE DE SANTANDER,EL ZULIA,1
2010-02-11,NARIÑO,SAN ANDRES DE TUMACO,1
2010-02-12,META,PUERTO RICO,1
2010-02-12,GUAVIARE,EL RETORNO,2
2010-02-12,ANTIOQUIA,ZARAGOZA,1
2010-02-12,NORTE DE SANTANDER,EL TARRA,2
2010-02-12,VAUPÉS,CARURU,1
2010-02-12,CAUCA,ARGELIA,2
2010-02-12,NARIÑO,POLICARPA,1
2010-02-12,NORTE DE SANTANDER,EL ZULIA,1
2010-02-13,CHOCÓ,BAJO BAUDO,1
2010-02-13,VAUPÉS,CARURU,1
2010-02-13,CAUCA,BOLIVAR,1
2010-02-13,BOLÍVAR,SANTA ROSA DEL SUR,1
2010-02-13,NARIÑO,POLICARPA,1
2010-02-13,NORTE DE SANTANDER,CUCUTA,1
2010-02-14,ANTIOQUIA,ITUANGO,1
2010-02-14,ANTIOQUIA,NECHI,1
2010-02-14,CAUCA,CORINTO,1
2010-02-14,GUAVIARE,MIRAFLORES,3
2010-02-16,CAQUETÁ,PUERTO RICO,3
2010-02-16,CAUCA,ARGELIA,1
2010-02-16,NORTE DE SANTANDER,CUCUTA,1
2010-02-16,PUTUMAYO,PUERTO CAICEDO,1
2010-02-16,NARIÑO,SAN ANDRES DE TUMACO,4
2010-02-17,META,LA MACARENA,1
2010-02-17,PUTUMAYO,PUERTO CAICEDO,1
2010-02-17,VAUPÉS,CARURU,1
2010-02-17,META,MAPIRIPAN,1
2010-02-17,NORTE DE SANTANDER,CHINACOTA,1
2010-02-17,NORTE DE SANTANDER,TOLEDO,1
2010-02-17,PUTUMAYO,VILLAGARZON,1
2010-02-17,NARIÑO,SAN ANDRES DE TUMACO,1
2010-02-18,GUAVIARE,SAN JOSE DEL GUAVIARE,1
2010-02-18,ANTIOQUIA,TARAZA,1
2010-02-18,PUTUMAYO,LEGUIZAMO,1
2010-02-18,CAUCA,BOLIVAR,1
2010-02-18,CAUCA,PATIA,1
2010-02-18,META,GRANADA,1
2010-02-18,META,MAPIRIPAN,2
2010-02-19,CAUCA,GUAPI,1
2010-02-19,PUTUMAYO,LEGUIZAMO,1
2010-02-19,NORTE DE SANTANDER,OCAÑA,1
2010-02-19,CAUCA,SUCRE,1
2010-02-19,META,MAPIRIPAN,3
2010-02-20,ANTIOQUIA,VALDIVIA,5
2010-02-20,PUTUMAYO,PUERTO ASIS,1
2010-02-20,ANTIOQUIA,SAN LUIS,1
2010-02-20,CÓRDOBA,AYAPEL,1
2010-02-21,ANTIOQUIA,TARAZA,1
2010-02-21,CAUCA,ARGELIA,1
2010-02-21,META,MAPIRIPAN,3
2010-02-21,NORTE DE SANTANDER,CHITAGA,2
2010-02-22,META,PUERTO RICO,1
2010-02-22,GUAVIARE,CALAMAR,1
2010-02-22,NORTE DE SANTANDER,HACARI,3
2010-02-22,META,MAPIRIPAN,3
2010-02-22,META,SAN MARTIN,1
2010-02-22,NORTE DE SANTANDER,CACHIRA,1
2010-02-22,SANTANDER,EL PLAYON,1
2010-02-23,ANTIOQUIA,TARAZA,1
2010-02-23,CAUCA,GUAPI,1
2010-02-24,VALLE DEL CAUCA,TULUA,2
2010-02-24,PUTUMAYO,ORITO,1
2010-02-24,CAUCA,CALOTO,1
2010-02-25,AMAZONAS,EL ENCANTO,1
2010-02-25,BOYACÁ,PUERTO BOYACA,1
2010-02-25,CAQUETÁ,EL DONCELLO,17
2010-02-25,NORTE DE SANTANDER,CACHIRA,1
2010-02-25,NARIÑO,SAN ANDRES DE TUMACO,1
2010-02-26,META,PUERTO RICO,2
2010-02-26,ANTIOQUIA,ANORI,1
2010-02-26,ANTIOQUIA,VALDIVIA,3
2010-02-26,CAQUETÁ,SOLANO,1
2010-02-26,VALLE DEL CAUCA,JAMUNDI,1
2010-02-26,CAQUETÁ,BELEN DE LOS ANDAQUIES,6
2010-02-26,CAUCA,EL TAMBO,4
2010-02-26,NARIÑO,EL PEÑOL,1
