FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD,UNIDAD DE MEDIDA
2010-01-25,54.0,NORTE DE SANTANDER,54810,TIBU,1,UNIDAD
2010-01-25,19.0,CAUCA,19698,SANTANDER DE QUILICHAO,1,UNIDAD
2010-01-25,95.0,GUAVIARE,95200,MIRAFLORES,6,UNIDAD
2010-01-25,86.0,PUTUMAYO,86568,PUERTO ASIS,1,UNIDAD
2010-01-25,99.0,VICHADA,99773,CUMARIBO,1,UNIDAD
2010-01-26,95.0,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1,UNIDAD
2010-01-26,5.0,ANTIOQUIA,05790,TARAZA,1,UNIDAD
2010-01-26,54.0,NORTE DE SANTANDER,54810,TIBU,1,UNIDAD
2010-01-26,18.0,CAQUETÁ,18247,EL DONCELLO,1,UNIDAD
2010-01-26,54.0,NORTE DE SANTANDER,54109,BUCARASICA,1,UNIDAD
2010-01-26,50.0,META,50568,PUERTO GAITAN,1,UNIDAD
2010-01-26,86.0,PUTUMAYO,86568,PUERTO ASIS,3,UNIDAD
2010-01-26,50.0,META,50325,MAPIRIPAN,1,UNIDAD
2010-01-26,86.0,PUTUMAYO,86885,VILLAGARZON,2,UNIDAD
2010-01-27,95.0,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1,UNIDAD
2010-01-27,54.0,NORTE DE SANTANDER,54250,EL TARRA,1,UNIDAD
2010-01-27,86.0,PUTUMAYO,86757,SAN MIGUEL,2,UNIDAD
2010-01-27,23.0,CÓRDOBA,23555,PLANETA RICA,1,UNIDAD
2010-01-27,86.0,PUTUMAYO,86320,ORITO,1,UNIDAD
2010-01-27,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-01-28,5.0,ANTIOQUIA,05887,YARUMAL,1,UNIDAD
2010-01-28,13.0,BOLÍVAR,13074,BARRANCO DE LOBA,1,UNIDAD
2010-01-28,50.0,META,50325,MAPIRIPAN,1,UNIDAD
2010-01-28,5.0,ANTIOQUIA,05585,PUERTO NARE,1,UNIDAD
2010-01-28,19.0,CAUCA,19533,PIAMONTE,1,UNIDAD
2010-01-28,25.0,CUNDINAMARCA,25524,PANDI,1,UNIDAD
2010-01-28,54.0,NORTE DE SANTANDER,54001,CUCUTA,1,UNIDAD
2010-01-28,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-01-29,95.0,GUAVIARE,95025,EL RETORNO,4,UNIDAD
2010-01-29,19.0,CAUCA,19318,GUAPI,2,UNIDAD
2010-01-29,95.0,GUAVIARE,95200,MIRAFLORES,1,UNIDAD
2010-01-29,52.0,NARIÑO,52540,POLICARPA,1,UNIDAD
2010-01-29,86.0,PUTUMAYO,86885,VILLAGARZON,2,UNIDAD
2010-01-29,99.0,VICHADA,99773,CUMARIBO,2,UNIDAD
2010-01-30,50.0,META,50590,PUERTO RICO,2,UNIDAD
2010-01-30,5.0,ANTIOQUIA,05854,VALDIVIA,1,UNIDAD
2010-01-30,50.0,META,50577,PUERTO LLERAS,1,UNIDAD
2010-01-30,86.0,PUTUMAYO,86568,PUERTO ASIS,1,UNIDAD
2010-01-30,50.0,META,50325,MAPIRIPAN,1,UNIDAD
2010-01-30,19.0,CAUCA,19450,MERCADERES,1,UNIDAD
2010-01-30,52.0,NARIÑO,52435,MALLAMA,1,UNIDAD
2010-01-31,50.0,META,50590,PUERTO RICO,1,UNIDAD
2010-02-01,99.0,VICHADA,99001,PUERTO CARREÑO,2,UNIDAD
2010-02-01,50.0,META,50325,MAPIRIPAN,1,UNIDAD
2010-02-01,19.0,CAUCA,19318,GUAPI,1,UNIDAD
2010-02-01,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-02-02,54.0,NORTE DE SANTANDER,54250,EL TARRA,2,UNIDAD
2010-02-02,54.0,NORTE DE SANTANDER,54800,TEORAMA,1,UNIDAD
2010-02-02,52.0,NARIÑO,52678,SAMANIEGO,1,UNIDAD
2010-02-02,99.0,VICHADA,99001,PUERTO CARREÑO,1,UNIDAD
2010-02-02,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-02-03,18.0,CAQUETÁ,18756,SOLANO,1,UNIDAD
2010-02-03,97.0,VAUPÉS,97161,CARURU,1,UNIDAD
2010-02-03,23.0,CÓRDOBA,23555,PLANETA RICA,1,UNIDAD
2010-02-03,54.0,NORTE DE SANTANDER,54001,CUCUTA,1,UNIDAD
2010-02-03,54.0,NORTE DE SANTANDER,54405,LOS PATIOS,1,UNIDAD
2010-02-03,86.0,PUTUMAYO,86885,VILLAGARZON,1,UNIDAD
2010-02-04,50.0,META,50350,LA MACARENA,2,UNIDAD
2010-02-04,19.0,CAUCA,19809,TIMBIQUI,1,UNIDAD
2010-02-04,50.0,META,50325,MAPIRIPAN,5,UNIDAD
2010-02-05,99.0,VICHADA,99773,CUMARIBO,1,UNIDAD
2010-02-05,5.0,ANTIOQUIA,05660,SAN LUIS,1,UNIDAD
2010-02-05,52.0,NARIÑO,52256,EL ROSARIO,1,UNIDAD
2010-02-05,86.0,PUTUMAYO,86885,VILLAGARZON,1,UNIDAD
