FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD,UNIDAD DE MEDIDA
01/20/2010 12:00:00 AM,50,META,50325,MAPIRIPAN,2,UNIDAD
01/21/2010 12:00:00 AM,23,CÓRDOBA,23807,TIERRALTA,1,UNIDAD
01/21/2010 12:00:00 AM,86,PUTUMAYO,86320,ORITO,1,UNIDAD
01/21/2010 12:00:00 AM,50,META,50325,MAPIRIPAN,1,UNIDAD
01/23/2010 12:00:00 AM,05,ANTIOQUIA,05885,YALI,2,UNIDAD
01/23/2010 12:00:00 AM,50,META,50325,MAPIRIPAN,1,UNIDAD
01/23/2010 12:00:00 AM,86,PUTUMAYO,86757,SAN MIGUEL,1,UNIDAD
01/24/2010 12:00:00 AM,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,2,UNIDAD
01/24/2010 12:00:00 AM,18,CAQUETÁ,18756,SOLANO,2,UNIDAD
01/24/2010 12:00:00 AM,19,CAUCA,19050,ARGELIA,2,UNIDAD
01/24/2010 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,2,UNIDAD
01/25/2010 12:00:00 AM,54,NORTE DE SANTANDER,54810,TIBU,1,UNIDAD
01/25/2010 12:00:00 AM,19,CAUCA,19698,SANTANDER DE QUILICHAO,1,UNIDAD
01/25/2010 12:00:00 AM,95,GUAVIARE,95200,MIRAFLORES,6,UNIDAD
01/25/2010 12:00:00 AM,86,PUTUMAYO,86568,PUERTO ASIS,1,UNIDAD
01/25/2010 12:00:00 AM,99,VICHADA,99773,CUMARIBO,1,UNIDAD
01/26/2010 12:00:00 AM,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1,UNIDAD
01/26/2010 12:00:00 AM,05,ANTIOQUIA,05790,TARAZA,1,UNIDAD
01/26/2010 12:00:00 AM,54,NORTE DE SANTANDER,54810,TIBU,1,UNIDAD
01/26/2010 12:00:00 AM,18,CAQUETÁ,18247,EL DONCELLO,1,UNIDAD
01/26/2010 12:00:00 AM,54,NORTE DE SANTANDER,54109,BUCARASICA,1,UNIDAD
01/26/2010 12:00:00 AM,50,META,50568,PUERTO GAITAN,1,UNIDAD
01/26/2010 12:00:00 AM,86,PUTUMAYO,86568,PUERTO ASIS,3,UNIDAD
01/26/2010 12:00:00 AM,50,META,50325,MAPIRIPAN,1,UNIDAD
01/26/2010 12:00:00 AM,86,PUTUMAYO,86885,VILLAGARZON,2,UNIDAD
01/27/2010 12:00:00 AM,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1,UNIDAD
01/27/2010 12:00:00 AM,54,NORTE DE SANTANDER,54250,EL TARRA,1,UNIDAD
01/27/2010 12:00:00 AM,86,PUTUMAYO,86757,SAN MIGUEL,2,UNIDAD
01/27/2010 12:00:00 AM,23,CÓRDOBA,23555,PLANETA RICA,1,UNIDAD
01/27/2010 12:00:00 AM,86,PUTUMAYO,86320,ORITO,1,UNIDAD
01/27/2010 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
01/28/2010 12:00:00 AM,05,ANTIOQUIA,05887,YARUMAL,1,UNIDAD
01/28/2010 12:00:00 AM,13,BOLÍVAR,13074,BARRANCO DE LOBA,1,UNIDAD
01/28/2010 12:00:00 AM,50,META,50325,MAPIRIPAN,1,UNIDAD
01/28/2010 12:00:00 AM,05,ANTIOQUIA,05585,PUERTO NARE,1,UNIDAD
01/28/2010 12:00:00 AM,19,CAUCA,19533,PIAMONTE,1,UNIDAD
01/28/2010 12:00:00 AM,25,CUNDINAMARCA,25524,PANDI,1,UNIDAD
01/28/2010 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,1,UNIDAD
01/28/2010 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
01/29/2010 12:00:00 AM,95,GUAVIARE,95025,EL RETORNO,4,UNIDAD
01/29/2010 12:00:00 AM,19,CAUCA,19318,GUAPI,2,UNIDAD
01/29/2010 12:00:00 AM,95,GUAVIARE,95200,MIRAFLORES,1,UNIDAD
01/29/2010 12:00:00 AM,52,NARIÑO,52540,POLICARPA,1,UNIDAD
01/29/2010 12:00:00 AM,86,PUTUMAYO,86885,VILLAGARZON,2,UNIDAD
01/29/2010 12:00:00 AM,99,VICHADA,99773,CUMARIBO,2,UNIDAD
01/30/2010 12:00:00 AM,50,META,50590,PUERTO RICO,2,UNIDAD
01/30/2010 12:00:00 AM,05,ANTIOQUIA,05854,VALDIVIA,1,UNIDAD
01/30/2010 12:00:00 AM,50,META,50577,PUERTO LLERAS,1,UNIDAD
01/30/2010 12:00:00 AM,86,PUTUMAYO,86568,PUERTO ASIS,1,UNIDAD
01/30/2010 12:00:00 AM,50,META,50325,MAPIRIPAN,1,UNIDAD
01/30/2010 12:00:00 AM,19,CAUCA,19450,MERCADERES,1,UNIDAD
01/30/2010 12:00:00 AM,52,NARIÑO,52435,MALLAMA,1,UNIDAD
01/31/2010 12:00:00 AM,50,META,50590,PUERTO RICO,1,UNIDAD
02/01/2010 12:00:00 AM,99,VICHADA,99001,PUERTO CARREÑO,2,UNIDAD
02/01/2010 12:00:00 AM,50,META,50325,MAPIRIPAN,1,UNIDAD
02/01/2010 12:00:00 AM,19,CAUCA,19318,GUAPI,1,UNIDAD
02/01/2010 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
02/02/2010 12:00:00 AM,54,NORTE DE SANTANDER,54250,EL TARRA,2,UNIDAD
02/02/2010 12:00:00 AM,54,NORTE DE SANTANDER,54800,TEORAMA,1,UNIDAD
02/02/2010 12:00:00 AM,52,NARIÑO,52678,SAMANIEGO,1,UNIDAD
02/02/2010 12:00:00 AM,99,VICHADA,99001,PUERTO CARREÑO,1,UNIDAD
02/02/2010 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
02/03/2010 12:00:00 AM,18,CAQUETÁ,18756,SOLANO,1,UNIDAD
02/03/2010 12:00:00 AM,97,VAUPÉS,97161,CARURU,1,UNIDAD
02/03/2010 12:00:00 AM,23,CÓRDOBA,23555,PLANETA RICA,1,UNIDAD
02/03/2010 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,1,UNIDAD
02/03/2010 12:00:00 AM,54,NORTE DE SANTANDER,54405,LOS PATIOS,1,UNIDAD
02/03/2010 12:00:00 AM,86,PUTUMAYO,86885,VILLAGARZON,1,UNIDAD
02/04/2010 12:00:00 AM,50,META,50350,LA MACARENA,2,UNIDAD
02/04/2010 12:00:00 AM,19,CAUCA,19809,TIMBIQUI,1,UNIDAD
02/04/2010 12:00:00 AM,50,META,50325,MAPIRIPAN,5,UNIDAD
02/05/2010 12:00:00 AM,99,VICHADA,99773,CUMARIBO,1,UNIDAD
02/05/2010 12:00:00 AM,05,ANTIOQUIA,05660,SAN LUIS,1,UNIDAD
02/05/2010 12:00:00 AM,52,NARIÑO,52256,EL ROSARIO,1,UNIDAD
02/05/2010 12:00:00 AM,86,PUTUMAYO,86885,VILLAGARZON,1,UNIDAD
02/06/2010 12:00:00 AM,23,CÓRDOBA,23466,MONTELIBANO,1,UNIDAD
02/06/2010 12:00:00 AM,99,VICHADA,99773,CUMARIBO,1,UNIDAD
02/06/2010 12:00:00 AM,95,GUAVIARE,95200,MIRAFLORES,4,UNIDAD
02/06/2010 12:00:00 AM,50,META,50325,MAPIRIPAN,1,UNIDAD
02/06/2010 12:00:00 AM,52,NARIÑO,52678,SAMANIEGO,1,UNIDAD
02/07/2010 12:00:00 AM,50,META,50325,MAPIRIPAN,1,UNIDAD
02/08/2010 12:00:00 AM,05,ANTIOQUIA,05854,VALDIVIA,1,UNIDAD
02/08/2010 12:00:00 AM,05,ANTIOQUIA,05790,TARAZA,1,UNIDAD
02/08/2010 12:00:00 AM,52,NARIÑO,52490,OLAYA HERRERA,2,UNIDAD
